"ModId","Name","Version","FileVersion","Jar","AllModIds","SHA256","MetadataPath","MetadataSource","Confidence","Namespaces"
"addonslib","AddonsLib","1.21.1-1.14","1.14","addonslib-neoforge-1.21.1-1.14.jar","addonslib","788323E3A19258A073112F3B89161D51F3F9E283EEE8D662A8C61C428FEA8639","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","addonslib;neoforge"
"advanced_ae","Advanced AE","1.6.12-1.21.1","1.6.12","AdvancedAE-1.6.12-1.21.1.jar","advanced_ae","A01D9718667AC13899013E91C5B0B7708B9B9DB1DA9B8E380772DDE54BBE8F41","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","advanced_ae;ae2;c;curios;minecraft"
"advanced_memory_card","Advanced Memory Card","1.0.2.1-1.21.1","1.0.2.1","advanced_memory_card-1.0.2.1-1.21.1.jar","advanced_memory_card","A6510F3F2D0F6F6141B1D12923516D7CA49EEEC27E9CE320068659D2EC8CBB03","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","advanced_memory_card;ae2"
"ae2","Applied Energistics 2","19.2.17","19.2.17","appliedenergistics2-19.2.17.jar","ae2","460D779A0609B81409907D9956DE8F6F70A1B0912257E3E5C3C7E75AC9630E95","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","ae2;c;curios;minecraft;neoforge"
"ae2_mega_things","AE2 MEGA Things","2.0.4","2.0.4","AE2MEGAThings-1.21.1-2.0.4.jar","ae2_mega_things","97537207B4C68A417A15B5A029F82E55510E0FCAA22BE3C97B199BF2C7C5F7B9","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","ae2_mega_things"
"ae2ct","AE2:Crafting Tree","1.21.1-1.1.1","1.1.1","ae2ct-1.21.1-1.1.1.jar","ae2ct","70A704742CF8BC13778A201A2338D0F4108DC0700BCA47ED265ABA02180F6777","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","ae2;ae2ct"
"ae2driveterminal","AE2 Drive Terminal","1.1.1","1.1.1","ae2driveterminal-1.21.1-neoforge-1.1.1.jar","ae2driveterminal","4C48CA16BC20E6963118FE2B511C52D57B982AA8D60717320FDF56155135922D","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","ae2driveterminal;examplemod"
"ae2importexportcard","AE2 Import Export Card","1.21.1-1.5.0","1.5.0","ae2importexportcard-1.21.1-1.5.0.jar","ae2importexportcard","63C59264947C2B386F5576971CD5C2FEE0EFD9EEC6DA7FB2992EF38117DC35BD","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","ae2;ae2importexportcard"
"ae2jeiintegration","AE2 JEI Integration","1.2.1","1.2.1","ae2jeiintegration-1.2.1.jar","ae2jeiintegration","2989C5D762D3F14A58B4DB6519DAAFF81E719DFF3445A2B39328948AC23E548B","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH",""
"ae2qolrecipes","AE2 QoL Recipes","1.3.0","1.3.0","ae2qolrecipes-neoforge-1.21.x-1.3.0.jar","ae2qolrecipes","9AEDB9090A19D4B15C258AE13A680117980D344927B223C53F8670DFB2D1FA6F","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","ae2;ae2qolrecipes;c"
"ae2things","AE2 Things","1.4.2-beta","1.4.2-beta","AE2-Things-1.4.2-beta.jar","ae2things","9725DD363CC874601737B417DDFE675E4A5AE4A6428BDEB67AC408F775EB4241","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","ae2things"
"ae2wtlib","AE2WTLib","19.5.1","19.5.1","ae2wtlib-19.5.1.jar","ae2wtlib","407E7300351353CB4CB7698286E180AEF2BD6E7A97EC7EFC6493F9DAA4DBFFE5","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","ae2;ae2wtlib;curios"
"aeinfinitybooster","AEInfinityBooster","1.21.1-1.0.0.58","1.0.0.58","aeinfinitybooster-neoforge-1.21.1-1.0.0.58.jar","aeinfinitybooster","4B5140CD5AC4A7BC3CD99C339885614978BFA675EB320F4A4A39491E40AF4BCA","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","aeinfinitybooster"
"aether","The Aether","1.5.10","1.5.10","aether-1.21.1-1.5.10-neoforge.jar","aether","B19386301560A017A458E9790A7B59999E270F93010DEF0B61E7CBE4C8630DBF","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","aether;c;jeed;minecraft;neoforge;randomium;supplementaries"
"aether_beyond_parity","Beyond Parity","1.0.0","1.0.0","aether_beyond_parity-1.21.1-1.0.0-neoforge.jar","aether_beyond_parity","956BD5662094CEC351E40D1DF38B27330FB5D80A5F620086C3E5C727EB9DED84","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","aether;aether_beyond_parity;c;minecraft;neoforge"
"aether_emissivity","Emissivity","1.0.2","1.0.2","aether_emissivity-1.21.1-1.0.2-neoforge.jar","aether_emissivity","F3A7731388E75414D2E4A86F9FCF53741423B64776005C1353D78DA2E1CE1266","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","aether_emissivity"
"aether_enhanced_extinguishing","Enhanced Extinguishing","1.0.0","1.0.0","aether_enhanced_extinguishing-1.21.1-1.0.0-neoforge.jar","aether_enhanced_extinguishing","2C413F4338AEBB4341B0D3E83A6ACF9C3A5433BC2D2AF1B0467C008D8042761D","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","aether_enhanced_extinguishing;minecraft"
"aether_ores","Aether: Basic Ores","1.0.0","1.0.0","aether_ores-1.0.0-neoforge-1.21.1.jar","aether_ores","378252BA5341211B4263C7D01672A3C7C5AF0453995B9B2ACA94E6E394B726D0","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","aether_ores;c;minecraft"
"aether_treasure_reforging","Treasure Reforging","1.0.1","1.0.1","aether_treasure_reforging-1.21.1-1.0.1-neoforge.jar","aether_treasure_reforging","025ED8A3F22EC50E112E9A2D422F7D25394B313949F78CB535290345217C0533","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","aether;aether_treasure_reforging;c;minecraft;neoforge"
"aiimprovements","AI-Improvements","0.5.3","0.5.3","AI-Improvements-1.21-0.5.3.jar","aiimprovements","795618769FF1AC782750BE9E8FAAF3E3D212F1687C3BAAB98C1282A98A63A41E","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH",""
"ali","AdvancedLootInfo","1.12.0","1.12.0","AdvancedLootInfo-neoforge-1.21.1-1.12.0.jar","ali","67B5E5CBF7AB780042B6AA86ADE5F14EAF006C810DAED66046BC5F85033E9714","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","ali;minecraft"
"alltheleaks","All The Leaks","1.1.11+1.21.1-neoforge","1.1.11","alltheleaks-1.1.11+1.21.1-neoforge.jar","alltheleaks","A5BF9BDB3A52B09B1521CDEE46735A6E2265438A5084284D037E0042306BD6BD","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH",""
"alltheores","AllTheOres","3.2.0","3.2.0","alltheores-3.2.0_neoforge_1.21.1.jar","alltheores","7DE4018F8475874347BD8DC5B7551CAD80C31446DE8DAAE7C86AEE5480F9C80A","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","alltheores;c;mekanism;minecraft;neoforge"
